title,author,author_bio,writing_location,nationality,active_city,lat,lon,year,field,summary,tags
Annie John 安妮·约翰,Jamaica Kincaid,"安提瓜-美国作家(1949-),17岁离开安提瓜到美国当保姆,后在《纽约客》供职。作品以加勒比殖民地母女关系为核心。","Vermont, USA",Antigua/USA,St. John's,17.1274,-61.8468,1985,文学/成长,"故事发生在英属殖民地安提瓜。安妮·约翰从10岁起一直是母亲眼中的乖女儿,母女在小岛上几乎形影不离。但进入青春期后,母亲突然以冷漠态度对待她,告诉她不能再像小女孩那样无所顾忌。安妮被卷入嫉妒、被拒绝、被自我厌恶的痛苦,变得叛逆,与母亲爆发激烈冲突。她重病卧床数月,病愈后决定离开小岛远赴英国学护士,母亲送她到码头。这是一部加勒比女孩的成长小说,以母女关系折射殖民地与宗主国、传统与现代之间的复杂张力,是金凯德最广为人知的作品。",20世纪下半叶; 加勒比; 女性主义; 母女关系; 殖民经验; 都市
Selected Stories 自选短篇集,Silvina Ocampo,"阿根廷小说家与诗人(1903-1993),出身阿根廷豪门,博尔赫斯密友,后嫁给作家比奥伊·卡萨雷斯。作品以阴森童趣与反道德叙事在拉美短篇小说中独树一帜。","Buenos Aires, Argentina",Argentina,Buenos Aires,-34.6033,-58.3812,1961,短篇小说,"奥坎波短篇以儿童视角讲述充满恶意与魔法的世界。她笔下的孩子并非天真的受害者,而是有意杀人、操纵成人、与魔鬼立约的恶魔。一个故事中小女孩教唆同伴跳河,另一故事里仆人借助黑魔法置换身份,还有花瓣里藏着杀人秘密、镜中倒映着另一时空。奥坎波将奇幻、童话、家庭暴力与南半球豪宅的颓废氛围结合,以冷静残忍的散文颠覆了乖巧少女写作的传统。生前长期被博尔赫斯与丈夫的盛名掩盖,近年被重新发现为拉美短篇小说最不寻常的声音。",20世纪下半叶; 拉美; 小说; 短篇小说; 婚姻; 性别暴力
Fever Dream 痛苦的密度,Samanta Schweblin,"阿根廷小说家(1978-),布宜诺斯艾利斯出身,现居柏林。作品以诡谲短篇与悬疑长篇刻画拉美现代环境危机与亲子焦虑,是拉美新一代最受瞩目的作家之一。","Berlin, Germany",Argentina,Buenos Aires,-34.6037,-58.3816,2014,文学/惊悚,"阿曼达躺在阿根廷乡间一所诊所的病床上,生命垂危。少年大卫坐在床边,以盘问的方式引导她回忆事发经过。阿曼达带女儿妮娜下乡度假,认识了大卫的母亲卡拉,后者讲述儿子曾被毒物感染、由当地灵性女子用换灵之术救回,因而带回一个不属于自己的部分。叙事在大卫无情的引导下逐层逼近真相:农药、被污染的水、被毒死的牲畜与儿童。中篇小说以高度紧凑的对话与不可靠记忆,将拉美转基因农业带来的环境与心灵危机化作令人窒息的母性恐惧,是当代拉美生态恐怖的杰作。",21世纪; 拉美; 女性主义; 母女关系; 成长; 记忆
Things We Lost in the Fire 火中遗物,Mariana Enríquez,"阿根廷小说家与记者(1973-),被誉为新拉美哥特的代表。作品融合阿根廷军政府历史、贫民窟与女性身体,以恐怖小说写社会现实。","Buenos Aires, Argentina",Argentina,Buenos Aires,-34.6041,-58.382,2016,短篇/哥特,"这部短篇集以当代布宜诺斯艾利斯及阿根廷乡间为背景,12个故事在现实与超自然之间游走。失踪的儿童在贫民窟阴影中重新出现,被烧毁的家暴妇女组织起来在公园自焚以反抗,被遗弃的母亲与孙女面对从墙后渗出的鬼魂,贫民区的肮脏河流流出难以辨认的尸体。恩里克斯将阿根廷军政府失踪者的历史、当代经济崩溃与女性身体暴力交织,以哥特恐怖书写社会创伤。本集获国际多项大奖,被誉为拉美黑色文学的当代代表。",21世纪; 拉美; 哥特; 短篇小说; 女性主义; 母女关系
My Brilliant Career 我的灿烂前程,Miles Franklin,"澳大利亚作家(1879-1954),笔名为男性化的Miles。一生未婚,以处女作奠定澳大利亚女性文学传统,身后以遗产设立澳大利亚最重要的文学奖。","New South Wales, Australia",Australia,Sydney,-33.8688,151.2093,1901,文学/小说,"19世纪末新南威尔士乡村,西比尔·梅尔文出生于澳洲贫穷农家。聪明而炽烈的她渴望摆脱家族贫困与家庭主妇命运,梦想成为作家。她被送到富裕祖母家寄居,期间富裕的牧场主哈罗德·比彻姆爱上她并求婚。西比尔虽爱他,却拒绝婚姻——她不愿被婚姻吞没自己作为作家的志业。回到贫困父母家继续生活的同时,她写下这本自传体小说。弗兰克林20岁完成此书,从一个殖民地农村女孩的视角第一次喊出澳大利亚女性的独立宣言,成为澳大利亚文学的起源之书。",20世纪上半叶; 大洋洲; 小说; 女性主义; 婚姻; 殖民经验
The Wall 墙,Marlen Haushofer,"奥地利小说家(1920-1970),长期被忽视的家庭主妇作家,身后被女性主义重新发现。作品以荒野独居与女性自省为主题。","Steyr, Austria",Austria,Vienna,47.8,14.4167,1963,文学/小说,"一位中年奥地利女性来阿尔卑斯山的朋友狩猎小屋度周末。一夜之后她发现山谷被一面无形的玻璃墙封闭,墙外所有的人和动物都凝固或死去。她孤独地与一条狗、一头怀孕母牛、一只猫开始野外生存,种土豆、收草料、过完一年又一年。叙事完全是她在墙后写下的笔记。在与动物的相依中,她重新理解时间、劳动、母性与孤独。这部冷战时期被忽视的小说,在身后被发现为一部生态女性主义经典,讨论一个女人如何在没有男性与社会的世界里独自维持文明与自我。",20世纪下半叶; 欧洲; 小说; 女性主义; 母女关系; 身份认同
The Piano Teacher 钢琴教师,Elfriede Jelinek,"奥地利小说家、剧作家(1946-),2004年获诺贝尔文学奖。作品以激进语言批判奥地利父权与法西斯残余,深入女性身体、欲望与暴力。","Vienna, Austria",Austria,Vienna,48.2082,16.3738,1983,文学/心理,"维也纳音乐学院钢琴教师埃丽卡·科胡特年过40,与控制欲极强的母亲住在一起共睡一床,生活如囚牢。她内心扭曲,沉迷于色情电影院与公园里的偷窥,借此体验被禁锢的欲望。当年轻英俊的工科学生克莱默对她产生兴趣,她以一封冰冷的信交出自己的施虐受虐契约,要求他按指令折磨她。克莱默初震惊后接受,情节走向暴力的高潮。耶利内克以冷酷而具实验性的散文,展现奥地利中产女性在母女共生与高雅文化外壳下的精神窒息,是当代德语文学最具争议的作品之一。",20世纪下半叶; 欧洲; 心理小说; 女性主义; 母女关系; 性别暴力
Voices from Chernobyl 切尔诺贝利的悲鸣,Svetlana Alexievich,"白俄罗斯-乌克兰口述史作家与记者(1948-),2015年获诺贝尔文学奖。开创口述史式纪实文学,以普通人的声音记录苏联与后苏联的历史灾难。","Minsk, Belarus",Belarus,Minsk,53.9006,27.559,1997,纪实/口述史,"1986年切尔诺贝利核电站爆炸十年后,阿列克谢耶维奇采访了数百名亲历者:消防员的妻子守护已被辐射融化的丈夫尸体到最后一刻、清理工回忆挖掘被污染土壤的日子、被迫离开家园的村民、坚守撤离区拒不离开的老人、画下事件的儿童、记录辐射病例的医生。她将这些声音剪辑成一部多声部的哀歌,展现苏联解体前夕一场被刻意隐瞒的核灾难如何吞噬普通人的肉体、家庭与精神。她以纪实文学的形式开创了一种新文体,被评委称为对我们时代苦难与勇气的纪念碑。",20世纪下半叶; 欧洲; 纪实文学; 口述史; 婚姻; 记忆
A Question of Power 权力的问题,Bessie Head,"南非-博茨瓦纳小说家(1937-1986),混血出身使她在种族隔离南非身份尴尬,后流亡博茨瓦纳。作品以乡村视角与精神病史书写南部非洲的种族与性别压迫。","Serowe, Botswana",Botswana/South Africa,Serowe,-22.3868,26.7165,1973,文学/精神史,"混血女子伊丽莎白从种族隔离的南非流亡到博茨瓦纳乡村,在小村塞罗韦从事菜园合作社工作。她努力适应新生活,但内心陷入严重的精神崩溃,听见两个男性声音——一位代表传统父权的塞洛,一位代表西方种族主义的丹——日夜以幻觉折磨她。在崩溃与康复之间,她在菜园劳作、与孩子相处、与友善的非洲妇女建立友谊的过程中,慢慢恢复自我。半自传式小说以精神病史折射殖民、种族、性别的暴力如何深入个人灵魂,是南部非洲文学最深邃的作品之一。",20世纪下半叶; 非洲; 精神史; 殖民经验; 移民流亡; 种族
Near to the Wild Heart 接近狂野之心,Clarice Lispector,"巴西作家(1920-1977),生于乌克兰犹太家庭,幼时随家迁往巴西。以哲学性散文与意识流小说重塑葡萄牙语文学,是拉丁美洲最重要的20世纪作家之一。","Rio de Janeiro, Brazil",Brazil,Rio de Janeiro,-22.907,-43.1731,1943,文学/小说,"23岁的利斯佩克托以这部处女作震动巴西文坛。小说讲述年轻女子若安娜从童年丧母、寄居姨妈家、与平凡丈夫奥塔维奥结婚、最终离开他独自远行的过程。叙述以意识流穿梭于现在、童年、梦境与哲思之间。若安娜不甘心被女性角色驯化,在内心追问什么是自我、什么是自由,她既鄙视体面婚姻又渴望被理解,以一种近乎兽性的方式存在。题目取自乔伊斯。本书将巴西小说从社会写实推向哲学性意识流,确立了利斯佩克托作为20世纪葡语文学最重要的实验者地位。",20世纪上半叶; 拉美; 小说; 女性主义; 婚姻; 成长
The Hour of the Star 星辰时刻,Clarice Lispector,"巴西作家(1920-1977),生于乌克兰犹太家庭,幼时随家迁往巴西。以哲学性散文与意识流小说重塑葡萄牙语文学,是拉丁美洲最重要的20世纪作家之一。","Rio de Janeiro, Brazil",Brazil,Rio de Janeiro,-22.9068,-43.1729,1977,文学/小说,"贫穷而毫无自我意识的东北部移民少女玛卡贝娅在里约一家公司当打字员,生活在污秽出租屋,与四个室友合用一张床,以可乐与热狗维持生命。她相貌平平、营养不良,却从未质问命运。叙述者一位中产男作家罗德里戈以介入式独白追问自己如何讲述这样一个微不足道的人的故事。当玛卡贝娅终于在算命师那里听见关于未来美好生活的预言,迈出门外,即被一辆黄色奔驰撞死。利斯佩克托以哲学性、自反性、几近残忍的语言,书写贫困女性的存在,是葡语文学的巅峰。",20世纪下半叶; 拉美; 小说; 女性主义; 移民流亡; 阶级
